,gender,age_at_enrollment,city_of_residence,enroll_after_hs_or_college,avg_high_school_score,favorite_subjects,math_score,russian_score,first_choice_subject_score,second_choice_subject_score,english_proficiency,university_faculty,field_of_study,program_satisfaction,interest_in_extracurriculars,sportiness,importance_of_budget_admission,visited_open_day,self_organization_ability,tutoring_experience,advanced_subjects_in_school,additional_subjects_on_exams,olympiad_success,pre_university_interests,time_for_self_development,admission_method,id
720,0,17,москва,после 11 класса,4.5,"математика, литература, информатика",70.0,72.0,78.0,0.0,могу общаться в повседневных ситуациях,сисс (сети и системы связи),11.03.02 инфокоммуникационные технологии и системы связи (сисс),6,"все возможные мероприятия, на которые хватает времени",люблю физические нагрузки в умеренном количестве,обязательно,False,максимум - выполнение дома заданий от преподавателя,False,"математика, физика, информатика",информатика,False,unknown,несколько часов в неделю,баллы егэ,f9288ca3-a152-42ed-9da9-53a2a9ec19b8
721,0,17,ершов,после 11 класса,5.0,"математика, иностранный язык, химия, физика, обществознание",78.0,89.0,60.0,0.0,"могу коммуницировать с носителями, частично знаю деловую речь",рит (радио и телевидение),11.03.02 инфокоммуникационные технологии и системы связи (рит),8,"все возможные мероприятия, на которые хватает времени",нахожусь на профессиональном / полу-профессиональном уровне в своем виде спорта,обязательно,False,готов почитать несколько статей по теме предмета,False,"физика, обществознание",физика,True,эксперименты (лабораторные опыты) связанные с химией/физикой,несколько часов в неделю,баллы егэ,3b2b2d04-5f86-469c-b27a-7c1b7f2be68c
722,0,18,сергиев посад,после 11 класса,4.5,"математика, литература, иностранный язык, информатика",64.0,85.0,88.0,62.0,"могу коммуницировать с носителями, частично знаю деловую речь",рит (радио и телевидение),11.03.02 инфокоммуникационные технологии и системы связи (рит),7,по возможности хотел бы участвовать регулярно,предпочитаю лишний раз не двигаться,обязательно,False,готов почитать несколько статей по теме предмета,True,"математика, информатика","иностранный язык, информатика",False,программирование,несколько часов в неделю,баллы егэ,c876fd86-8ccc-401f-a405-cbe974f00230
723,0,18,москва,после 11 класса,3.5,"математика, иностранный язык",52.0,76.0,85.0,0.0,могу читать несложные диалоги,рит (радио и телевидение),11.03.02 инфокоммуникационные технологии и системы связи (рит),7,готов сходить на пару заинтересовавших мероприятий,люблю физические нагрузки в умеренном количестве,важно,True,изучу всё связанное с темой предмета,True,unknown,информатика,False,программирование,несколько часов в неделю,баллы егэ,ed8ac626-9b65-4849-aaf3-833b8a8ae70d
724,0,17,уфа,после 11 класса,4.5,"математика, иностранный язык, физика",76.0,73.0,70.0,0.0,"свободно общаюсь, глубоко знаю грамматику",рит (радио и телевидение),11.03.02 инфокоммуникационные технологии и системы связи (рит),5,готов сходить на пару заинтересовавших мероприятий,люблю физические нагрузки в умеренном количестве,обязательно,False,максимум - выполнение дома заданий от преподавателя,True,"русский язык, математика, литература, иностранный язык, история, химия, биология, физика, обществознание, информатика",физика,False,инженерная деятельность,около 10 часов в неделю,баллы егэ,c31ebe5c-8528-44a7-9793-8da17ffc3759
725,0,17,москва,после 11 класса,5.0,"математика, информатика",78.0,87.0,88.0,0.0,обладаю базовым словарным запасом,ит (информационные технологии),09.03.01 информатика и вычислительная техника,7,только учеба,предпочитаю лишний раз не двигаться,обязательно,True,готов почитать несколько статей по теме предмета,False,"математика, физика, информатика",информатика,False,unknown,минимальное количество времени,баллы егэ,bc4b6d60-6dd3-4707-b8e6-324399e0196f
726,1,19,алатырь,после 11 класса,5.0,"математика, иностранный язык, информатика",82.0,82.0,62.0,83.0,могу общаться в повседневных ситуациях,ит (информационные технологии),09.03.01 информатика и вычислительная техника,7,готов сходить на пару заинтересовавших мероприятий,нахожусь на профессиональном / полу-профессиональном уровне в своем виде спорта,обязательно,False,готов почитать несколько статей по теме предмета,True,"математика, физика","физика, информатика",False,программирование,несколько часов в неделю,баллы егэ,a3d03f13-d4c4-41b6-9161-3e41ac06997c
727,1,18,москва,после 11 класса,3.5,"математика, физика, информатика",74.0,65.0,84.0,55.0,могу общаться в повседневных ситуациях,сисс (сети и системы связи),11.03.02 инфокоммуникационные технологии и системы связи (сисс),6,готов сходить на пару заинтересовавших мероприятий,люблю физические нагрузки в умеренном количестве,обязательно,False,готов почитать несколько статей по теме предмета,True,unknown,"физика, информатика",False,"программирование, робототехника",около 10 часов в неделю,баллы егэ,21bf92be-1a41-4e2b-8aeb-f7709170e8b9
728,1,18,москва,после 11 класса,3.5,"математика, иностранный язык, история, физика, информатика",78.0,96.0,72.0,75.0,"могу коммуницировать с носителями, частично знаю деловую речь",ит (информационные технологии),09.03.02 информационные системы и технологии,0,только учеба,предпочитаю лишний раз не двигаться,обязательно,False,максимум - выполнение дома заданий от преподавателя,True,"математика, физика","физика, информатика",False,"программирование, компьютерное 3d-моделирование",больше 10 часов в неделю,баллы егэ,06097b8a-e6ce-4f0f-b4e4-4e3d9d2016b8
729,1,17,город истра,после 11 класса,5.0,"математика, физика, астрономия, обществознание",46.0,64.0,40.0,0.0,могу читать несложные диалоги,ит (информационные технологии),09.03.01 информатика и вычислительная техника,7,готов сходить на пару заинтересовавших мероприятий,люблю физические нагрузки в умеренном количестве,не очень важно,True,готов почитать несколько статей по теме предмета,False,"математика, информатика",информатика,False,программирование,около 10 часов в неделю,баллы егэ,6f9883e4-646c-4003-8ca6-2f6d2ad07a2a
730,1,18,москва,после 11 класса,4.0,"иностранный язык, история, обществознание, информатика",68.0,91.0,60.0,77.0,"могу коммуницировать с носителями, частично знаю деловую речь",ит (информационные технологии),09.03.01 информатика и вычислительная техника,6,готов сходить на пару заинтересовавших мероприятий,регулярно занимаюсь любимым видом спорта / в тренажерном зале,обязательно,False,готов почитать несколько статей по теме предмета,True,иностранный язык,"иностранный язык, информатика",False,"программирование, робототехника",больше 10 часов в неделю,баллы егэ,674b55ec-45dd-47fb-8a89-f3aa39d64898
731,1,18,новосибирск,после 11 класса,5.0,"русский язык, математика, литература, иностранный язык, история, химия, биология, физика, география, астрономия, информатика",80.0,82.0,72.0,90.0,могу читать несложные диалоги,кииб (кибернетика и информационная безопасность),10.03.01 информационная безопасность,1,только учеба,предпочитаю лишний раз не двигаться,обязательно,False,изучу всё связанное с темой предмета,False,"русский язык, математика, физика, информатика","физика, информатика",True,"программирование, компьютерное 3d-моделирование, робототехника",больше 10 часов в неделю,баллы егэ,58c2f497-3bce-4964-a726-8acb80e35f0e
732,1,18,москва,после 11 класса,4.0,"математика, физика, информатика",72.0,56.0,64.0,70.0,обладаю базовым словарным запасом,ит (информационные технологии),09.03.01 информатика и вычислительная техника,7,готов сходить на пару заинтересовавших мероприятий,предпочитаю лишний раз не двигаться,не принципиально,False,готов почитать несколько статей по теме предмета,False,"математика, физика, информатика","физика, информатика",False,компьютерное 3d-моделирование,около 10 часов в неделю,баллы егэ,82a95be5-2aba-4172-9bfb-542636e094f7
